Started,Finished,DurationSecs,FromStopId,ToStopId,ChargeAmount,CompanyId,BusId,PAN,Status

2023-01-22 09:20,N/A,N/A,Stop3,Stop3,$7.3,Company1,Bus36,4111111111111111,INCOMPLETE

2023-01-22 13:05,2023-01-22 13:00,300,Stop2,Stop1,$3.25,Company1,Bus37,5500005555555559,COMPLETED

2023-01-23 08:00,N/A,N/A,Stop1,Stop1,$7.3,Company1,Bus37,4111111111111111,INCOMPLETE

2023-01-23 08:02,2023-01-23 08:00,120,Stop1,Stop1,$0.0,Company1,Bus37,4111111111111111,CANCELLED

2023-01-24 16:30,N/A,N/A,Stop2,Stop2,$7.3,Company1,Bus37,5500005555555559,INCOMPLETE
